claim_id,status,claim,evidence_files,scope_or_caution
C001,validated numerical result,"The Q=550 closed-loop tangent mode is unstable while the replay-driven opened subsystem is strongly stable.","03_FEEDBACK_LOOP/support_feedback_full_replay_mean_q550_report.txt; 03_FEEDBACK_LOOP/support_feedback_full_replay_mean_q550_summary.csv","Local to the retained Q=550 orbit and tangent experiment."
C002,validated numerical result,"Closing the local-support feedback loop is necessary for the measured Q=550 instability.","03_FEEDBACK_LOOP/support_feedback_full_replay_mean_q550_report.txt","The diagnostic contrast is local and should not be interpreted as a globally additive force decomposition."
C003,validated numerical result,"The phase-return branch is sufficient to create a positive tangent mode at Q=550; the kappa-return branch alone is not.","03_FEEDBACK_LOOP/support_feedback_branch_split_q550_tangent_report.txt","Same recorded central orbit; only tangent return paths are changed."
C004,validated numerical result,"Increasing the kappa-return gain lowers the critical phase-return gain across the sampled Q=550 gain curtain.","03_FEEDBACK_LOOP/support_feedback_gain_map_q550_report.txt; 03_FEEDBACK_LOOP/support_feedback_gain_map_q550_boundary.csv","The gains are diagnostic loop gains, not independent physical controls of the nonlinear model."
C005,validated numerical result,"The leading tangent norm is carried predominantly by the rotating sector at Q=522.25 and Q=550.","05_PHASE_RESOLVED_TANGENT/support_tangent_cycle_audit_report.txt; 06_ROTATING_MEMORY/support_rotating_memory_audit_summary.csv","Depends on the weighted tangent metric and gauge projection used by the audit."
C006,validated numerical result,"The first tangent-line recurrence is approximately 0.223611 rotations at Q=522.25 and 0.227778 rotations at Q=550.","07_SINGLE_WHIP/support_single_whip_audit_report.txt; 07_SINGLE_WHIP/support_single_whip_audit_summary.csv","Demonstrated for the two retained central orbits."
C007,validated numerical result,"After one line period the tangent line returns with opposite orientation: w(s+P_line) approximately equals -w(s).","07_SINGLE_WHIP/support_single_whip_audit_recurrence.csv; 07_SINGLE_WHIP/support_single_whip_audit_report.txt","Numerical statement in the selected tangent metric."
C008,validated numerical result,"After two line periods the oriented tangent vector returns: w(s+2P_line) approximately equals w(s).","07_SINGLE_WHIP/support_single_whip_audit_recurrence.csv; 07_SINGLE_WHIP/support_single_whip_audit_report.txt","Numerical statement in the selected tangent metric."
C009,validated numerical result,"Exactly half of the retained elementary strokes require a sign flip when aligned as an unoriented line.","07_SINGLE_WHIP/support_single_whip_audit_segments.csv; 07_SINGLE_WHIP/support_single_whip_audit_summary.csv","Follows from the antiperiodic orientation alternation over the retained segment set."
C010,strong numerical evidence,"The contraction-local-foot-release sequence is nearly unchanged between Q=522.25 and Q=550.","07_SINGLE_WHIP/support_single_whip_audit_summary.csv; 07_SINGLE_WHIP/support_single_whip_audit_comparison.png","Only two regimes were tested in this isolated-stroke comparison."
C011,strong numerical evidence,"The beyond-curtain regime retains a larger positive residual of essentially the same elementary stroke rather than generating a qualitatively new stroke.","07_SINGLE_WHIP/support_single_whip_audit_report.txt; 07_SINGLE_WHIP/support_single_whip_audit_growth.png","Interpretation is based on close geometric agreement and different per-stroke residual balances."
C012,interpretation,"The tangent choreography can be described as a mechanical whip or recoil stroke that plants a local foot and releases stored phase-supported deformation.","05_PHASE_RESOLVED_TANGENT; 06_ROTATING_MEMORY; 07_SINGLE_WHIP","This is a mechanical interpretation, not a variable or theorem of the model."
C013,interpretation,"The stable identity is the tangent line rather than its arrow; the stroke alternates orientation without losing geometric continuity.","07_SINGLE_WHIP/support_single_whip_audit_recurrence.csv; 07_SINGLE_WHIP/support_single_whip_audit_segments.csv","The geometric wording summarizes the validated overlap relations."
C014,open hypothesis,"The antiperiodic line recurrence may admit a projective or Möbius-like global description.","07_SINGLE_WHIP/support_single_whip_audit_recurrence.png","No formal topological proof is contained in this archive."
C015,open hypothesis,"The elementary line period may remain nearly invariant over a broad Q interval.","07_SINGLE_WHIP/support_single_whip_audit_comparison.png","Only Q=522.25 and Q=550 were isolated at the single-stroke level."
C016,caution,"Near the threshold, the sign of a finite-window mean growth estimate can be window-sensitive because single-rotation fluctuations are much larger than the residual mean.","06_ROTATING_MEMORY/support_rotating_memory_audit_rotation_growth.png; 04_CURTAIN_VS_Q/support_feedback_curtain_focus_report.txt","Use long-window tangent estimates for threshold claims."
