archive_path,size_bytes,sha256,media_type,section_role
00_README/CLAIMS_LEDGER.csv,5140,d573daeaa48ed78f9c790f4fdc68530d5eb7520a4890ea8fce0e1d5e1c4b3afb,text/csv,"English documentation, evidence ledger, and reproducibility notes"
00_README/DATA_DICTIONARY.md,2795,daa7eff55e0f2c3c7206b3d36fca5750a5a3c9d3f26964ae1dc00a687fae8dbe,text/markdown,"English documentation, evidence ledger, and reproducibility notes"
00_README/MILESTONE_FINDINGS.md,4715,f60b684acfe0417f272bffafe6973e7338f088aae862f2bbff72bee1a4a4bbbf,text/markdown,"English documentation, evidence ledger, and reproducibility notes"
00_README/README.md,4242,35b35708a6fc4568f10bd7caa7232c56b87d894c6ffdb79cb5248a8e41b14539,text/markdown,"English documentation, evidence ledger, and reproducibility notes"
00_README/REPRODUCIBILITY.md,1778,7ce1c48f85f398e72dbcaa14ef7f92eab9c01f7e9ff298ac205ce2c94baf04c2,text/markdown,"English documentation, evidence ledger, and reproducibility notes"
01_HOPF_CLOSURE/hopf_normal_form_closure.png,422888,3b0ec3b26e407c7d49e1daa7015247f9670d35b58e6aa7a832b462c3f3b1f4c8,image/png,Local threshold law and normal-form closure
01_HOPF_CLOSURE/hopf_normal_form_closure_report.txt,1522,c93082e2d8ba10c03d2c9eb8d7298753fb02f00b49c7a0c5301c36dd6e217913,text/plain,Local threshold law and normal-form closure
01_HOPF_CLOSURE/hopf_normal_form_closure_summary.csv,1116,b8c69e0acdc55f8bb189a8d28e6308e123d89d15bf23092e6d114ca7afa3cf6a,text/csv,Local threshold law and normal-form closure
02_LOCAL_ENERGY/support_local_energy_audit_q550.png,556467,42cad3cb738ad9b228a56547742aad9639b8ba97a2e8c52ec0c65a1dbc8664bd,image/png,Support-to-local energy transfer and balance audit
02_LOCAL_ENERGY/support_local_energy_audit_q550_periods.csv,104619,6467636c9b02a59507a1043b115a8e3d1ff1d9e75c8b974d0e95db60934d5ba2,text/csv,Support-to-local energy transfer and balance audit
02_LOCAL_ENERGY/support_local_energy_audit_q550_phase_bins.csv,5769,e6bc11ca90d7586dc9cc95ce0b34161af3a8436c316d0b6a025d149dd02bd1ef,text/csv,Support-to-local energy transfer and balance audit
02_LOCAL_ENERGY/support_local_energy_audit_q550_report.txt,5770,21309235e16ca4391e73eaaa031adc21ebddaad20efc84c37e529f0f91af8ed2,text/plain,Support-to-local energy transfer and balance audit
