status,claim,evidence,caution
ESTABLISHED,The moving geometry of the actual reduced 9x9 matrices B(s) is effectively two-dimensional.,Direct PCA of flattened 81-dimensional B(s) samples; PC1+PC2 cumulative variance is 0.9999999922777 at Q=522.25 and 0.9999986108182 at Q=550.,Established for the two tested Q values and the chosen reduced coordinates.
ESTABLISHED,One P_line interval acts as an approximately antipodal half-turn in the centered active matrix plane.,"Median antipodal cosines exceed 0.999991; fitted active-plane maps have determinant +1, trace near -2, and angles 180.284 and 180.322 degrees.","Approximate, not exact; residuals are phase-dependent."
ESTABLISHED,The active matrix geometry returns after approximately 2 P_line.,Two-stroke return cosines exceed 0.999936 and the full-return tests passed for both Q values.,The centered 2P residual is larger than the antipodal P residual but remains within the audit threshold.
ESTABLISHED,The dominant tangent orientation reverses at P_line and returns at 2 P_line.,Median signed returns are approximately -0.999987/+0.999948 at Q=522.25 and -0.999978/+0.999932 at Q=550.,Statement applies to the extracted dominant recurrent tangent line.
ESTABLISHED,The two-stroke matrix motion is overwhelmingly first-harmonic.,Median fundamental energy fractions are 0.9999941225 and 0.9999901672; even-harmonic fractions are 4.21e-6 and 7.43e-6.,Small higher harmonics and numerical differentiation effects remain.
ESTABLISHED,A constant planar generator produces approximately -I over P_line and I over 2 P_line.,Normalized J satisfies J^2 + I at 9.61e-17 and 2.38e-16; exp(PG) errors are 9.18e-5 and 8.54e-5.,"The global derivative-fit residual is about 3.2% to 3.6%, so the generator is an excellent reduced model rather than an exact identity."
ESTABLISHED,The measured generator frequency agrees with pi/P_line.,Relative errors are 2.620e-5 at Q=522.25 and 2.417e-5 at Q=550.,Measured in the support-rotation coordinate s.
ESTABLISHED,The dominant rocking anatomy is the reciprocal delta v2 / delta omega2 coupling pair.,These two entries tie for the maximum fundamental amplitude in both tested cases.,Dominant modal anatomy is not by itself a proof of unique causal origin.
ESTABLISHED,The normalized coupling hierarchy is nearly preserved while the strongest absolute amplitude grows strongly from Q=522.25 to Q=550.,"Maximum fundamental amplitudes are 1.915387e-3 and 2.172974e-2, a ratio of about 11.34.",Only two Q values are compared; no global scaling law is claimed.
CORRECTED,A physically closed P_line coefficient loop supporting a Möbius bundle is not currently established.,Direct centered B(s) geometry shows an antipodal half-cycle and closure at approximately 2 P_line.,A Möbius quotient interpretation remains possible only if the antipodal identification is independently proved to be an exact dynamical symmetry.
OPEN,The antipodal map R -> -R is an exact dynamical symmetry defining a quotient cycle.,Suggested by the stable near-half-turn geometry at two Q values.,Requires an explicit state-space symmetry or invariant quotient proof.
OPEN,The same continuous generator persists over a broad Q interval with a predictable amplitude law.,The normalized anatomy is similar at Q=522.25 and Q=550.,Requires intermediate-Q and broader parameter tests.
